date,year,month,day,doy,alb,alb_rejected
2014-01-01,2014,1,1,1,nan,nan
2014-01-02,2014,1,2,2,nan,0.079
2014-01-03,2014,1,3,3,nan,0.355
2014-01-04,2014,1,4,4,nan,nan
2014-01-05,2014,1,5,5,nan,nan
2014-01-06,2014,1,6,6,nan,nan
2014-01-07,2014,1,7,7,nan,nan
2014-01-08,2014,1,8,8,nan,0.038
2014-01-09,2014,1,9,9,nan,0.136
2014-01-10,2014,1,10,10,nan,nan
2014-01-11,2014,1,11,11,nan,nan
2014-01-12,2014,1,12,12,nan,nan
2014-01-13,2014,1,13,13,nan,nan
2014-01-14,2014,1,14,14,nan,0.607
2014-01-15,2014,1,15,15,nan,0.555
2014-01-16,2014,1,16,16,nan,nan
2014-01-17,2014,1,17,17,nan,nan
2014-01-18,2014,1,18,18,nan,nan
2014-01-19,2014,1,19,19,nan,nan
2014-01-20,2014,1,20,20,0.900,nan
2014-01-21,2014,1,21,21,nan,nan
2014-01-22,2014,1,22,22,nan,nan
2014-01-23,2014,1,23,23,nan,nan
2014-01-24,2014,1,24,24,nan,nan
2014-01-25,2014,1,25,25,nan,nan
2014-01-26,2014,1,26,26,nan,nan
2014-01-27,2014,1,27,27,nan,0.651
2014-01-28,2014,1,28,28,nan,nan
2014-01-29,2014,1,29,29,nan,0.535
2014-01-30,2014,1,30,30,0.812,nan
2014-01-31,2014,1,31,31,0.934,nan
2014-02-01,2014,2,1,32,nan,0.764
2014-02-02,2014,2,2,33,0.836,nan
2014-02-03,2014,2,3,34,0.799,nan
2014-02-04,2014,2,4,35,1.000,nan
2014-02-05,2014,2,5,36,0.923,nan
2014-02-06,2014,2,6,37,0.846,nan
2014-02-07,2014,2,7,38,0.813,nan
2014-02-08,2014,2,8,39,0.874,nan
2014-02-09,2014,2,9,40,0.881,nan
2014-02-10,2014,2,10,41,0.864,nan
2014-02-11,2014,2,11,42,0.964,nan
2014-02-12,2014,2,12,43,0.976,nan
2014-02-13,2014,2,13,44,0.938,nan
2014-02-14,2014,2,14,45,0.910,nan
2014-02-15,2014,2,15,46,0.911,nan
2014-02-16,2014,2,16,47,0.948,nan
2014-02-17,2014,2,17,48,0.975,nan
2014-02-18,2014,2,18,49,0.928,nan
2014-02-19,2014,2,19,50,0.818,nan
2014-02-20,2014,2,20,51,0.958,nan
2014-02-21,2014,2,21,52,nan,nan
2014-02-22,2014,2,22,53,nan,nan
2014-02-23,2014,2,23,54,nan,nan
2014-02-24,2014,2,24,55,nan,nan
2014-02-25,2014,2,25,56,nan,nan
2014-02-26,2014,2,26,57,0.853,nan
2014-02-27,2014,2,27,58,0.860,nan
2014-02-28,2014,2,28,59,0.893,nan
2014-03-01,2014,3,1,60,0.888,nan
2014-03-02,2014,3,2,61,0.882,nan
2014-03-03,2014,3,3,62,0.885,nan
2014-03-04,2014,3,4,63,0.862,nan
2014-03-05,2014,3,5,64,0.884,nan
2014-03-06,2014,3,6,65,0.898,nan
2014-03-07,2014,3,7,66,0.897,nan
2014-03-08,2014,3,8,67,0.886,nan
2014-03-09,2014,3,9,68,0.897,nan
2014-03-10,2014,3,10,69,0.889,nan
2014-03-11,2014,3,11,70,0.899,nan
2014-03-12,2014,3,12,71,0.923,nan
2014-03-13,2014,3,13,72,0.902,nan
2014-03-14,2014,3,14,73,0.897,nan
2014-03-15,2014,3,15,74,0.893,nan
2014-03-16,2014,3,16,75,0.910,nan
2014-03-17,2014,3,17,76,0.904,nan
2014-03-18,2014,3,18,77,0.891,nan
2014-03-19,2014,3,19,78,0.898,nan
2014-03-20,2014,3,20,79,0.901,nan
2014-03-21,2014,3,21,80,0.914,nan
2014-03-22,2014,3,22,81,0.893,nan
2014-03-23,2014,3,23,82,0.908,nan
2014-03-24,2014,3,24,83,0.906,nan
2014-03-25,2014,3,25,84,0.905,nan
2014-03-26,2014,3,26,85,0.921,nan
2014-03-27,2014,3,27,86,0.922,nan
2014-03-28,2014,3,28,87,0.917,nan
2014-03-29,2014,3,29,88,0.939,nan
2014-03-30,2014,3,30,89,0.927,nan
2014-03-31,2014,3,31,90,0.958,nan
2014-04-01,2014,4,1,91,0.947,nan
2014-04-02,2014,4,2,92,0.943,nan
2014-04-03,2014,4,3,93,0.931,nan
2014-04-04,2014,4,4,94,0.926,nan
2014-04-05,2014,4,5,95,0.962,nan
2014-04-06,2014,4,6,96,0.952,nan
2014-04-07,2014,4,7,97,0.954,nan
2014-04-08,2014,4,8,98,0.923,nan
2014-04-09,2014,4,9,99,0.922,nan
2014-04-10,2014,4,10,100,0.920,nan
2014-04-11,2014,4,11,101,0.900,nan
2014-04-12,2014,4,12,102,0.909,nan
2014-04-13,2014,4,13,103,0.940,nan
2014-04-14,2014,4,14,104,0.917,nan
2014-04-15,2014,4,15,105,0.928,nan
2014-04-16,2014,4,16,106,0.909,nan
2014-04-17,2014,4,17,107,0.928,nan
2014-04-18,2014,4,18,108,0.936,nan
2014-04-19,2014,4,19,109,0.940,nan
2014-04-20,2014,4,20,110,0.948,nan
2014-04-21,2014,4,21,111,0.937,nan
2014-04-22,2014,4,22,112,0.959,nan
2014-04-23,2014,4,23,113,0.950,nan
2014-04-24,2014,4,24,114,nan,nan
2014-04-25,2014,4,25,115,0.926,nan
2014-04-26,2014,4,26,116,0.937,nan
2014-04-27,2014,4,27,117,0.954,nan
2014-04-28,2014,4,28,118,nan,nan
2014-04-29,2014,4,29,119,0.981,nan
2014-04-30,2014,4,30,120,0.945,nan
2014-05-01,2014,5,1,121,0.933,nan
2014-05-02,2014,5,2,122,0.929,nan
2014-05-03,2014,5,3,123,0.926,nan
2014-05-04,2014,5,4,124,0.914,nan
2014-05-05,2014,5,5,125,0.942,nan
2014-05-06,2014,5,6,126,0.922,nan
2014-05-07,2014,5,7,127,0.866,nan
2014-05-08,2014,5,8,128,0.923,nan
2014-05-09,2014,5,9,129,0.914,nan
2014-05-10,2014,5,10,130,0.907,nan
2014-05-11,2014,5,11,131,0.908,nan
2014-05-12,2014,5,12,132,0.907,nan
2014-05-13,2014,5,13,133,0.903,nan
2014-05-14,2014,5,14,134,0.900,nan
2014-05-15,2014,5,15,135,0.929,nan
2014-05-16,2014,5,16,136,0.931,nan
2014-05-17,2014,5,17,137,0.943,nan
2014-05-18,2014,5,18,138,0.942,nan
2014-05-19,2014,5,19,139,0.948,nan
2014-05-20,2014,5,20,140,0.927,nan
2014-05-21,2014,5,21,141,0.926,nan
2014-05-22,2014,5,22,142,0.932,nan
2014-05-23,2014,5,23,143,0.922,nan
2014-05-24,2014,5,24,144,0.935,nan
2014-05-25,2014,5,25,145,0.950,nan
2014-05-26,2014,5,26,146,0.921,nan
2014-05-27,2014,5,27,147,0.925,nan
2014-05-28,2014,5,28,148,0.920,nan
2014-05-29,2014,5,29,149,0.917,nan
2014-05-30,2014,5,30,150,0.916,nan
2014-05-31,2014,5,31,151,0.912,nan
2014-06-01,2014,6,1,152,0.907,nan
2014-06-02,2014,6,2,153,0.898,nan
2014-06-03,2014,6,3,154,0.895,nan
2014-06-04,2014,6,4,155,0.923,nan
2014-06-05,2014,6,5,156,0.870,nan
2014-06-06,2014,6,6,157,0.871,nan
2014-06-07,2014,6,7,158,0.933,nan
2014-06-08,2014,6,8,159,0.924,nan
2014-06-09,2014,6,9,160,0.883,nan
2014-06-10,2014,6,10,161,0.820,nan
2014-06-11,2014,6,11,162,0.810,nan
2014-06-12,2014,6,12,163,0.808,nan
2014-06-13,2014,6,13,164,0.811,nan
2014-06-14,2014,6,14,165,0.810,nan
2014-06-15,2014,6,15,166,0.792,nan
2014-06-16,2014,6,16,167,0.780,nan
2014-06-17,2014,6,17,168,nan,0.980
2014-06-18,2014,6,18,169,0.840,nan
2014-06-19,2014,6,19,170,0.794,nan
2014-06-20,2014,6,20,171,0.776,nan
2014-06-21,2014,6,21,172,0.799,nan
2014-06-22,2014,6,22,173,0.770,nan
2014-06-23,2014,6,23,174,0.775,nan
2014-06-24,2014,6,24,175,0.777,nan
2014-06-25,2014,6,25,176,0.775,nan
2014-06-26,2014,6,26,177,0.777,nan
2014-06-27,2014,6,27,178,0.838,nan
2014-06-28,2014,6,28,179,0.874,nan
2014-06-29,2014,6,29,180,0.842,nan
2014-06-30,2014,6,30,181,0.817,nan
2014-07-01,2014,7,1,182,0.811,nan
2014-07-02,2014,7,2,183,0.813,nan
2014-07-03,2014,7,3,184,0.790,nan
2014-07-04,2014,7,4,185,0.767,nan
2014-07-05,2014,7,5,186,0.768,nan
2014-07-06,2014,7,6,187,0.749,nan
2014-07-07,2014,7,7,188,0.756,nan
2014-07-08,2014,7,8,189,0.714,nan
2014-07-09,2014,7,9,190,0.716,nan
2014-07-10,2014,7,10,191,0.677,nan
2014-07-11,2014,7,11,192,0.667,nan
2014-07-12,2014,7,12,193,0.646,nan
2014-07-13,2014,7,13,194,0.636,nan
2014-07-14,2014,7,14,195,0.654,nan
2014-07-15,2014,7,15,196,0.654,nan
2014-07-16,2014,7,16,197,0.638,nan
2014-07-17,2014,7,17,198,0.617,nan
2014-07-18,2014,7,18,199,0.641,nan
2014-07-19,2014,7,19,200,0.619,nan
2014-07-20,2014,7,20,201,0.563,nan
2014-07-21,2014,7,21,202,0.489,nan
2014-07-22,2014,7,22,203,0.473,nan
2014-07-23,2014,7,23,204,0.424,nan
2014-07-24,2014,7,24,205,0.444,nan
2014-07-25,2014,7,25,206,0.466,nan
2014-07-26,2014,7,26,207,0.421,nan
2014-07-27,2014,7,27,208,0.413,nan
2014-07-28,2014,7,28,209,0.449,nan
2014-07-29,2014,7,29,210,0.410,nan
2014-07-30,2014,7,30,211,0.442,nan
2014-07-31,2014,7,31,212,0.483,nan
2014-08-01,2014,8,1,213,0.629,nan
2014-08-02,2014,8,2,214,0.528,nan
2014-08-03,2014,8,3,215,0.545,nan
2014-08-04,2014,8,4,216,0.565,nan
2014-08-05,2014,8,5,217,0.528,nan
2014-08-06,2014,8,6,218,0.542,nan
2014-08-07,2014,8,7,219,0.561,nan
2014-08-08,2014,8,8,220,0.564,nan
2014-08-09,2014,8,9,221,0.508,nan
2014-08-10,2014,8,10,222,0.387,nan
2014-08-11,2014,8,11,223,0.511,nan
2014-08-12,2014,8,12,224,0.487,nan
2014-08-13,2014,8,13,225,0.938,nan
2014-08-14,2014,8,14,226,0.900,nan
2014-08-15,2014,8,15,227,0.864,nan
2014-08-16,2014,8,16,228,0.783,nan
2014-08-17,2014,8,17,229,0.455,nan
2014-08-18,2014,8,18,230,0.385,nan
2014-08-19,2014,8,19,231,0.402,nan
2014-08-20,2014,8,20,232,0.278,nan
2014-08-21,2014,8,21,233,0.316,nan
2014-08-22,2014,8,22,234,0.394,nan
2014-08-23,2014,8,23,235,nan,nan
2014-08-24,2014,8,24,236,nan,0.967
2014-08-25,2014,8,25,237,0.850,nan
2014-08-26,2014,8,26,238,0.858,nan
2014-08-27,2014,8,27,239,0.854,nan
2014-08-28,2014,8,28,240,0.853,nan
2014-08-29,2014,8,29,241,0.745,nan
2014-08-30,2014,8,30,242,0.610,nan
2014-08-31,2014,8,31,243,0.605,nan
2014-09-01,2014,9,1,244,0.599,nan
2014-09-02,2014,9,2,245,0.557,nan
2014-09-03,2014,9,3,246,0.651,nan
2014-09-04,2014,9,4,247,0.642,nan
2014-09-05,2014,9,5,248,0.925,nan
2014-09-06,2014,9,6,249,0.843,nan
2014-09-07,2014,9,7,250,0.889,nan
2014-09-08,2014,9,8,251,0.858,nan
2014-09-09,2014,9,9,252,0.935,nan
2014-09-10,2014,9,10,253,0.968,nan
2014-09-11,2014,9,11,254,0.946,nan
2014-09-12,2014,9,12,255,0.957,nan
2014-09-13,2014,9,13,256,0.965,nan
2014-09-14,2014,9,14,257,0.966,nan
2014-09-15,2014,9,15,258,0.969,nan
2014-09-16,2014,9,16,259,0.973,nan
2014-09-17,2014,9,17,260,0.966,nan
2014-09-18,2014,9,18,261,0.969,nan
2014-09-19,2014,9,19,262,0.932,nan
2014-09-20,2014,9,20,263,0.945,nan
2014-09-21,2014,9,21,264,0.951,nan
2014-09-22,2014,9,22,265,0.965,nan
2014-09-23,2014,9,23,266,nan,nan
2014-09-24,2014,9,24,267,0.958,nan
2014-09-25,2014,9,25,268,nan,nan
2014-09-26,2014,9,26,269,nan,nan
2014-09-27,2014,9,27,270,0.995,nan
2014-09-28,2014,9,28,271,0.979,nan
2014-09-29,2014,9,29,272,nan,nan
2014-09-30,2014,9,30,273,0.978,nan
2014-10-01,2014,10,1,274,0.953,nan
2014-10-02,2014,10,2,275,0.961,nan
2014-10-03,2014,10,3,276,nan,nan
2014-10-04,2014,10,4,277,0.971,nan
2014-10-05,2014,10,5,278,0.976,nan
2014-10-06,2014,10,6,279,0.956,nan
2014-10-07,2014,10,7,280,0.934,nan
2014-10-08,2014,10,8,281,0.969,nan
2014-10-09,2014,10,9,282,0.968,nan
2014-10-10,2014,10,10,283,0.964,nan
2014-10-11,2014,10,11,284,0.982,nan
2014-10-12,2014,10,12,285,0.960,nan
2014-10-13,2014,10,13,286,nan,nan
2014-10-14,2014,10,14,287,0.942,nan
2014-10-15,2014,10,15,288,nan,nan
2014-10-16,2014,10,16,289,0.965,nan
2014-10-17,2014,10,17,290,0.967,nan
2014-10-18,2014,10,18,291,nan,nan
2014-10-19,2014,10,19,292,0.976,nan
2014-10-20,2014,10,20,293,0.970,nan
2014-10-21,2014,10,21,294,nan,nan
2014-10-22,2014,10,22,295,0.963,nan
2014-10-23,2014,10,23,296,0.986,nan
2014-10-24,2014,10,24,297,0.948,nan
2014-10-25,2014,10,25,298,0.983,nan
2014-10-26,2014,10,26,299,0.978,nan
2014-10-27,2014,10,27,300,0.984,nan
2014-10-28,2014,10,28,301,nan,nan
2014-10-29,2014,10,29,302,nan,nan
2014-10-30,2014,10,30,303,0.972,nan
2014-10-31,2014,10,31,304,nan,nan
2014-11-01,2014,11,1,305,nan,nan
2014-11-02,2014,11,2,306,nan,nan
2014-11-03,2014,11,3,307,nan,nan
2014-11-04,2014,11,4,308,nan,nan
2014-11-05,2014,11,5,309,nan,nan
2014-11-06,2014,11,6,310,0.964,nan
2014-11-07,2014,11,7,311,nan,nan
2014-11-08,2014,11,8,312,nan,nan
2014-11-09,2014,11,9,313,nan,nan
2014-11-10,2014,11,10,314,nan,nan
2014-11-11,2014,11,11,315,nan,nan
2014-11-12,2014,11,12,316,nan,nan
2014-11-13,2014,11,13,317,nan,nan
2014-11-14,2014,11,14,318,nan,nan
2014-11-15,2014,11,15,319,nan,nan
2014-11-16,2014,11,16,320,nan,nan
2014-11-17,2014,11,17,321,nan,nan
2014-11-18,2014,11,18,322,nan,nan
2014-11-19,2014,11,19,323,0.827,nan
2014-11-20,2014,11,20,324,nan,nan
2014-11-21,2014,11,21,325,nan,nan
2014-11-22,2014,11,22,326,0.967,nan
2014-11-23,2014,11,23,327,nan,nan
2014-11-24,2014,11,24,328,nan,nan
2014-11-25,2014,11,25,329,nan,nan
2014-11-26,2014,11,26,330,nan,nan
2014-11-27,2014,11,27,331,nan,nan
2014-11-28,2014,11,28,332,nan,nan
2014-11-29,2014,11,29,333,nan,nan
2014-11-30,2014,11,30,334,nan,nan
2014-12-01,2014,12,1,335,nan,nan
2014-12-02,2014,12,2,336,nan,nan
2014-12-03,2014,12,3,337,nan,nan
2014-12-04,2014,12,4,338,nan,0.763
2014-12-05,2014,12,5,339,nan,0.203
2014-12-06,2014,12,6,340,0.845,nan
2014-12-07,2014,12,7,341,nan,nan
2014-12-08,2014,12,8,342,nan,0.595
2014-12-09,2014,12,9,343,nan,nan
2014-12-10,2014,12,10,344,nan,nan
2014-12-11,2014,12,11,345,nan,0.267
2014-12-12,2014,12,12,346,nan,0.445
2014-12-13,2014,12,13,347,nan,nan
2014-12-14,2014,12,14,348,nan,0.253
2014-12-15,2014,12,15,349,nan,0.761
2014-12-16,2014,12,16,350,nan,nan
2014-12-17,2014,12,17,351,nan,nan
2014-12-18,2014,12,18,352,nan,nan
2014-12-19,2014,12,19,353,nan,nan
2014-12-20,2014,12,20,354,nan,nan
